_id,Provinsi,2003,2005,2008,2011,2014,2018
1,INDONESIA,4749,5168,4845,3745,3630,3187
2,ACEH,333,457,427,206,355,327
3,SUMATERA UTARA,222,316,300,264,582,371
4,SUMATERA BARAT,61,72,60,66,51,86
5,RIAU,187,194,222,11,16,4
6,JAMBI,173,298,235,39,20,46
7,SUMATERA SELATAN,431,496,325,69,27,30
8,BENGKULU,101,102,114,87,30,7
9,LAMPUNG,84,74,71,65,60,23
10,KEP. BANGKA BELITUNG,3,4,2,,,
11,KEP. RIAU,,,2,13,8,2
12,DKI JAKARTA,7,,,,,
13,JAWA BARAT,140,110,79,181,190,181
14,JAWA TENGAH,209,88,56,181,124,80
15,DI YOGYAKARTA,8,,,5,2,
16,JAWA TIMUR,190,106,81,159,104,85
17,BANTEN,68,41,28,37,70,52
18,BALI,7,3,1,20,14,11
19,NUSA TENGGARA BARAT,29,19,15,63,39,49
20,NUSA TENGGARA TIMUR,86,117,112,317,274,246
21,KALIMANTAN BARAT,294,456,466,151,86,67
22,KALIMANTAN TENGAH,607,789,768,49,49,26
23,KALIMANTAN SELATAN,258,172,102,42,16,4
24,KALIMANTAN TIMUR,429,409,424,180,48,23
25,KALIMANTAN UTARA,,,,,90,99
26,SULAWESI UTARA,45,57,71,110,164,78
27,SULAWESI TENGAH,128,113,84,184,156,137
28,SULAWESI SELATAN,165,192,107,109,118,99
29,SULAWESI TENGGARA,81,53,94,127,80,88
30,GORONTALO,10,25,10,39,13,30
31,SULAWESI BARAT,,,66,63,93,40
32,MALUKU,5,12,3,37,33,21
33,MALUKU UTARA,17,23,15,48,12,30
34,PAPUA BARAT,,,188,232,155,201
35,PAPUA,371,370,317,591,551,644
