_id,Provinsi,1971,1980,1990,1995,2000,2005,2010,2014,2015,2016
1,INDONESIA,97.18,98.82,99.45,99.09,100.6,101.11,101.4,101.0,101.0,101.0
2,ACEH,100.21,101.49,101.05,100.01,101.1,,100.2,99.7,99.7,99.8
3,SUMATERA UTARA,101.32,100.72,99.76,99.24,99.8,99.62,99.8,99.6,99.6,99.6
4,SUMATERA BARAT,93.69,95.53,95.88,94.07,96.1,97.49,98.4,98.8,98.9,99.1
5,RIAU,104.63,103.99,105.16,102.77,104.4,104.24,106.3,105.6,105.5,105.5
6,JAMBI,107.45,105.65,104.32,101.65,104.2,105.92,105.5,104.2,104.2,104.2
7,SUMATERA SELATAN,99.51,102.05,101.19,102.08,101.0,102.43,103.7,103.3,103.3,103.3
8,BENGKULU,101.99,103.23,105.63,101.85,103.2,104.09,104.6,104.1,104.1,104.0
9,LAMPUNG,102.33,107.28,105.51,104.89,106.2,107.63,106.1,105.3,105.2,105.2
10,KEP. BANGKA BELITUNG,,,,,104.0,109.0,108.0,108.0,108.1,108.2
11,KEP. RIAU,,,,,,99.87,105.5,104.6,104.4,104.3
12,DKI JAKARTA,102.13,102.58,101.95,100.56,102.5,98.7,102.8,101.3,101.0,100.8
13,JAWA BARAT,96.79,99.12,100.51,100.82,102.1,102.71,103.6,102.9,102.8,102.8
14,JAWA TENGAH,95.25,96.62,97.47,96.76,99.2,99.77,98.8,98.4,98.4,98.4
15,DI YOGYAKARTA,94.28,96.25,96.71,98.34,98.3,100.17,97.7,97.7,97.8,97.8
16,JAWA TIMUR,94.32,95.51,95.96,96.24,97.9,98.65,97.5,97.4,97.4,97.5
17,BANTEN,,,,,101.5,103.79,104.7,104.1,104.1,104.0
18,BALI,97.94,98.39,99.46,100.21,101.0,103.14,101.7,101.4,101.4,101.4
19,NUSA TENGGARA BARAT,97.45,98.29,95.51,92.59,94.2,93.49,94.3,94.2,94.2,94.3
20,NUSA TENGGARA TIMUR,101.99,99.56,98.34,98.09,98.6,100.41,98.7,98.2,98.2,98.2
21,KALIMANTAN BARAT,104.21,103.49,103.85,104.81,104.7,104.98,104.6,103.9,103.8,103.8
22,KALIMANTAN TENGAH,101.75,106.32,106.63,104.91,106.8,106.46,109.0,109.2,109.3,109.4
23,KALIMANTAN SELATAN,96.31,98.82,99.63,99.39,100.5,101.83,102.6,102.7,102.8,102.8
24,KALIMANTAN TIMUR,106.96,111.64,110.91,106.23,109.7,109.71,111.3,110.3,110.3,110.3
25,KALIMANTAN UTARA,,,,,,,,113.3,113.2,113.0
26,SULAWESI UTARA,100.57,102.27,102.74,102.99,104.9,103.85,104.4,104.2,104.2,104.2
27,SULAWESI TENGAH,104.63,106.44,105.08,102.67,104.7,105.23,105.2,104.5,104.4,104.4
28,SULAWESI SELATAN,94.77,94.94,95.5,94.88,95.1,94.78,95.5,95.4,95.4,95.5
29,SULAWESI TENGGARA,91.31,96.89,99.7,96.61,100.7,101.6,101.0,100.9,101.0,101.1
30,GORONTALO,,,,,101.0,101.34,100.7,100.4,100.4,100.4
31,SULAWESI BARAT,,,,,,,100.8,100.6,100.6,100.7
32,MALUKU,103.0,104.43,103.82,102.98,102.8,103.09,102.3,101.8,101.8,101.7
33,MALUKU UTARA,,,,,104.7,105.21,104.9,104.3,104.2,104.2
34,PAPUA BARAT,,,,,,,112.4,111.5,111.4,111.3
35,PAPUA,141.44,109.29,110.49,103.83,110.4,112.34,113.4,111.9,111.6,111.4
